time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-04-03T01:09:28.121Z,24.0918,121.8568,35,4.5,mb,39,96,6.41,0.32,us,us7000mbfr,2024-06-12T21:51:58.040Z,"28 km ENE of Hualien City, Taiwan",earthquake,9.1,1.897,0.121,20,reviewed,us,us
2024-04-03T01:09:37.061Z,24.174,121.766,10,5.2,mb,197,63,0.608,0.63,us,us7000m9h5,2024-06-12T21:51:52.040Z,"27 km NE of Hualien City, Taiwan",earthquake,3.07,1.769,0.048,143,reviewed,us,us
2024-04-03T01:13:10.456Z,24.0162,121.7192,35,4.6,mb,49,76,0.722,0.55,us,us7000mbev,2024-06-12T21:51:57.040Z,"12 km ENE of Hualien City, Taiwan",earthquake,3.16,1.897,0.107,26,reviewed,us,us
2024-04-03T01:13:44.357Z,24.0776,121.7275,35,4.2,mb,21,93,0.671,0.55,us,us7000mbi2,2024-06-12T21:51:59.040Z,"16 km NE of Hualien City, Taiwan",earthquake,2.57,1.943,0.176,9,reviewed,us,us
2024-04-03T01:15:29.465Z,23.6173,121.6986,35,4.2,mb,27,87,0.431,0.66,us,us7000mbet,2024-06-12T21:51:57.040Z,"40 km SSE of Hualien City, Taiwan",earthquake,4.12,1.917,0.167,10,reviewed,us,us
2024-04-03T01:17:41.291Z,23.9694,121.6633,26.865,5,mb,75,77,0.665,0.77,us,us7000m9h7,2024-06-12T21:51:52.040Z,"6 km E of Hualien City, Taiwan",earthquake,3.29,4.055,0.044,165,reviewed,us,us
2024-04-03T01:19:31.837Z,23.873,121.6499,6.723,5.1,mb,79,73,0.577,0.71,us,us7000mbey,2024-06-12T21:51:57.040Z,"12 km SSE of Hualien City, Taiwan",earthquake,3.35,4.426,0.075,57,reviewed,us,us
2024-04-03T01:21:41.142Z,24.0706,121.6693,27.072,4.2,mb,30,85,0.654,0.84,us,us7000mbf0,2024-06-12T21:51:57.040Z,"12 km NNE of Hualien City, Taiwan",earthquake,3.45,1.857,0.187,8,reviewed,us,us
2024-04-03T01:30:54.311Z,24.2377,121.9049,37.27,4.4,mb,42,61,0.646,0.98,us,us7000mbew,2024-06-12T21:51:57.040Z,"42 km NE of Hualien City, Taiwan",earthquake,3.32,5.42,0.12,20,reviewed,us,us
2024-04-03T01:33:27.287Z,24.0686,121.6821,35,4.4,mb,39,83,0.66,0.4,us,us7000mbex,2024-06-12T21:51:57.040Z,"12 km NE of Hualien City, Taiwan",earthquake,3.74,1.922,0.11,24,reviewed,us,us
2024-04-03T01:39:35.045Z,23.7905,121.7975,16.869,5.3,mb,99,41,0.606,0.69,us,us7000m9h9,2024-06-12T21:51:52.040Z,"28 km SE of Hualien City, Taiwan",earthquake,3.88,3.209,0.033,308,reviewed,us,us
2024-04-03T01:39:47.928Z,23.7873,121.7835,26.363,5.7,mwr,63,67,0.595,0.62,us,us7000mbfv,2024-06-12T21:51:58.040Z,"27 km SE of Hualien City, Taiwan",earthquake,4.57,3.15,0.083,14,reviewed,us,us
2024-04-03T01:41:14.834Z,23.3463,122.1012,22.496,4.8,mb,43,70,0.74,0.65,us,us7000mbi3,2024-06-12T21:51:59.040Z,"86 km SE of Hualien City, Taiwan",earthquake,2.87,5.533,0.102,30,reviewed,us,us
2024-04-03T01:47:30.781Z,24.0293,121.7536,35,4.4,mb,37,82,0.725,0.7,us,us7000mbez,2024-06-12T21:51:57.040Z,"16 km ENE of Hualien City, Taiwan",earthquake,1.99,1.927,0.115,22,reviewed,us,us
2024-04-03T01:48:58.053Z,23.7316,121.8019,10,4.5,mb,38,102,0.573,0.66,us,us7000mbfw,2024-06-12T21:51:58.040Z,"33 km SE of Hualien City, Taiwan",earthquake,2.43,1.855,0.104,27,reviewed,us,us
2024-04-03T01:49:38.775Z,23.8897,121.8988,10,5.1,mb,68,63,0.741,0.61,us,us7000m9hh,2024-06-12T21:51:52.040Z,"31 km ESE of Hualien City, Taiwan",earthquake,2.79,1.798,0.044,171,reviewed,us,us
2024-04-03T01:51:23.037Z,23.7431,121.8308,35,4.9,mb,33,89,0.601,0.51,us,us7000mbf1,2024-06-12T21:51:57.040Z,"34 km SE of Hualien City, Taiwan",earthquake,3.84,1.908,0.076,54,reviewed,us,us
2024-04-03T01:53:57.455Z,23.8817,121.5533,22.545,5.1,mb,64,69,0.541,0.66,us,us7000m9hk,2024-06-12T21:51:52.040Z,"11 km SSW of Hualien City, Taiwan",earthquake,2.36,4.292,0.042,185,reviewed,us,us
2024-04-03T01:59:11.108Z,23.7806,121.901,35,4.1,mb,28,89,0.675,0.45,us,us7000mbf2,2024-06-12T21:51:57.040Z,"37 km SE of Hualien City, Taiwan",earthquake,2.71,1.904,0.198,7,reviewed,us,us
2024-04-03T02:07:07.238Z,23.7487,121.8359,30.116,4,mb,24,73,0.608,0.74,us,us7000mbf3,2024-06-12T21:51:57.040Z,"34 km SE of Hualien City, Taiwan",earthquake,3.54,5.755,0.232,5,reviewed,us,us
2024-04-03T02:08:42.935Z,23.8145,121.7676,35,4.5,mb,37,73,0.602,0.64,us,us7000mbf4,2024-06-12T21:51:57.040Z,"24 km SE of Hualien City, Taiwan",earthquake,3.1,1.912,0.115,22,reviewed,us,us
2024-04-03T02:13:38.794Z,24.1353,121.8025,10,4.7,mb,51,77,0.659,0.35,us,us7000m9hr,2024-06-12T21:51:52.040Z,"26 km NE of Hualien City, Taiwan",earthquake,3.19,1.308,0.06,83,reviewed,us,us
2024-04-03T02:14:36.488Z,24.1954,121.9338,41.798,5.7,mwr,131,24,0.694,0.78,us,us7000m9hp,2024-06-12T21:51:52.040Z,"41 km NE of Hualien City, Taiwan",earthquake,4.24,4.338,0.06,27,reviewed,us,us
2024-04-03T02:23:27.076Z,24.2305,121.6344,35.749,5,mb,58,77,0.497,0.81,us,us7000mbf5,2024-06-12T21:51:57.040Z,"28 km N of Hualien City, Taiwan",earthquake,3.19,5.59,0.059,90,reviewed,us,us
2024-04-03T02:28:16.568Z,24.1664,121.818,13.194,5.1,mwr,107,65,0.643,0.64,us,us7000m9ht,2024-06-12T21:51:52.040Z,"30 km NE of Hualien City, Taiwan",earthquake,3.49,3.479,0.075,17,reviewed,us,us
2024-04-03T02:38:29.095Z,23.9281,121.5761,16.764,4.9,mb,40,77,0.586,0.56,us,us7000m9i3,2024-06-12T21:51:52.040Z,"6 km SSW of Hualien City, Taiwan",earthquake,2.64,4.771,0.078,51,reviewed,us,us
2024-04-03T02:44:56.739Z,24.2721,121.9006,35,4.2,mb,17,154,0.621,0.41,us,us7000mbg1,2024-06-12T21:51:58.040Z,"44 km NE of Hualien City, Taiwan",earthquake,3.52,1.908,0.187,8,reviewed,us,us
2024-04-03T02:46:32.088Z,23.8735,121.6377,35,4.5,mb,37,78,0.572,1.22,us,us7000mbf6,2024-06-12T21:51:57.040Z,"11 km SSE of Hualien City, Taiwan",earthquake,2.84,1.912,0.121,20,reviewed,us,us
2024-04-03T02:48:35.168Z,24.1723,121.9688,35,4.5,mb,40,64,0.733,0.73,us,us7000mbf8,2024-06-12T21:51:57.040Z,"42 km ENE of Hualien City, Taiwan",earthquake,3.13,1.907,0.11,24,reviewed,us,us
2024-04-03T02:51:10.930Z,23.9734,121.5,35,4.2,mb,27,79,0.533,0.79,us,us7000mbf7,2024-06-12T21:51:57.040Z,"10 km W of Hualien City, Taiwan",earthquake,2.99,1.74,0.141,14,reviewed,us,us
2024-04-03T02:54:01.418Z,23.9869,121.71,37.881,4.6,mb,37,89,0.702,0.5,us,us7000mbf9,2024-06-12T21:51:57.040Z,"10 km E of Hualien City, Taiwan",earthquake,3.11,8.489,0.122,20,reviewed,us,us
2024-04-03T03:01:40.761Z,24.219,121.7994,35,4.4,mb,45,77,0.592,0.5,us,us7000mbfb,2024-06-12T21:51:57.040Z,"33 km NE of Hualien City, Taiwan",earthquake,4.1,1.914,0.108,25,reviewed,us,us
2024-04-03T03:02:34.533Z,23.801,121.6623,10,4.6,mb,45,72,0.527,0.77,us,us7000mbhk,2024-06-12T21:51:58.040Z,"20 km SSE of Hualien City, Taiwan",earthquake,4.86,1.888,0.101,29,reviewed,us,us
2024-04-03T03:08:09.765Z,24.0606,121.8427,38.439,4.6,mb,50,79,0.741,0.82,us,us7000mbg3,2024-06-12T21:51:58.040Z,"25 km ENE of Hualien City, Taiwan",earthquake,2.42,7.661,0.111,27,reviewed,us,us
2024-04-03T03:11:43.450Z,24.1977,121.6198,35,4.4,mb,31,77,0.52,0.85,us,us7000mbfa,2024-06-12T21:51:57.040Z,"24 km N of Hualien City, Taiwan",earthquake,1.73,1.926,0.134,16,reviewed,us,us
2024-04-03T03:12:32.064Z,23.9644,121.4775,37.223,4,mb,25,103,0.51,0.87,us,us7000mbfc,2024-06-12T21:51:57.040Z,"12 km W of Hualien City, Taiwan",earthquake,2.71,8.028,0.183,8,reviewed,us,us
2024-04-03T03:14:41.946Z,24.016,121.9082,35,4.5,mb,42,83,0.812,0.55,us,us7000mbfd,2024-06-12T21:51:57.040Z,"31 km E of Hualien City, Taiwan",earthquake,3.75,1.902,0.111,24,reviewed,us,us
2024-04-03T03:20:54.461Z,24.1244,121.6638,35,4.7,mb,58,73,0.603,0.57,us,us7000m9ib,2024-06-12T21:51:52.040Z,"17 km NNE of Hualien City, Taiwan",earthquake,3.03,1.847,0.049,126,reviewed,us,us
2024-04-03T03:22:04.988Z,24.1673,121.5816,30.479,4.2,mb,24,86,0.534,0.67,us,us7000mbhq,2024-06-12T21:51:58.040Z,"21 km N of Hualien City, Taiwan",earthquake,1.79,5.915,0.159,11,reviewed,us,us
2024-04-03T03:35:20.262Z,24.1808,121.8765,11.356,4.9,mwr,67,63,0.667,0.57,us,us7000m9if,2024-06-12T21:51:52.040Z,"35 km NE of Hualien City, Taiwan",earthquake,2.31,3.354,0.06,27,reviewed,us,us
2024-04-03T03:40:04.523Z,24.179,121.6236,36.09,4.5,mb,35,65,0.538,1.03,us,us7000mbff,2024-06-12T21:51:57.040Z,"22 km N of Hualien City, Taiwan",earthquake,3.48,8.501,0.113,23,reviewed,us,us
